dacPOW-SwtPos_NLDG0001,deiAZMPOWNLDG0001-SwtPos,dacPOW-SwtPos
dacPOW-PowFlt_NLDG0001,deiAZMPOWNLDG0001-PowFlt,dacPOW-PowFlt
dacPOW-OpeAlw_NLDG0001,deiAZMPOWNLDG0001-OpeAlw,dacPOW-OpeAlw
dacPOW-CCtrlMode_NLDG0001,deiAZMPOWNLDG0001-CCtrlMode,dacPOW-CCtrlMode
dacPOW-CtrlScrn_NLDG0001,deiAZMPOWNLDG0001-CtrlScrn,dacPOW-CtrlScrn
dacPOW-Maintain_NLDG0001,deiAZMPOWNLDG0001-Maintain,dacPOW-Maintain
dacPOW-Forbid_NLDG0001,deiAZMPOWNLDG0001-Forbid,dacPOW-Forbid
dacPOW-Ground_NLDG0001,deiAZMPOWNLDG0001-Ground,dacPOW-Ground
dacPOW-PowIscs_NLDG0001,deiAZMPOWNLDG0001-PowIscs,dacPOW-PowIscs
dacPOW-RightPos_NLDG0001,deiAZMPOWNLDG0001-RightPos,dacPOW-RightPos
dacPOW-RecComm_NLDG0001,deiAZMPOWNLDG0001-RecComm,dacPOW-RecComm
