dovPOW-Opn_CBCtrOpn_HVNK0001,,30,deoZCIPOWHVNK0001-CBCtrOpn,8193,dovPOW-Opn
dovPOW-Clo_CBCtrClo_HVNK0001,,30,deoZCIPOWHVNK0001-CBCtrClo,8193,dovPOW-Clo
dovPOW-Rst_RCRset_HVNK0001,,0,deoZCIPOWHVNK0001-RCRset,8193,dovPOW-Rst
dovPOW-Cancl_Screen_HVNK0001,,10,deoZCIPOWHVNK0001-Screen,8192,dovPOW-Cancl
dovPOW-Exe_Screen_HVNK0001,,10,deoZCIPOWHVNK0001-Screen,8193,dovPOW-Exe
dovPOW-Str_BrkRun_NKNB0001,,30,deoZCIPOWNKNB0001-BrkRun,8193,dovPOW-Str
dovPOW-Don_BrkStop_NKNB0001,,30,deoZCIPOWNKNB0001-BrkStop,8193,dovPOW-Don
dovPOW-Rst_BrkRst_NKNB0001,,0,deoZCIPOWNKNB0001-BrkRst,8193,dovPOW-Rst
dovPOW-Cancl_Screen_NKNB0001,,10,deoZCIPOWNKNB0001-Screen,8192,dovPOW-Cancl
dovPOW-Exe_Screen_NKNB0001,,10,deoZCIPOWNKNB0001-Screen,8193,dovPOW-Exe
dovPOW-Rsm_NKSRst_ZSKX0001,,0,deoZCIPOWZSKX0001-NKSRst,8193,dovPOW-Rsm
dovPOW-Clo_NKSClo_ZSKX0001,,30,deoZCIPOWZSKX0001-NKSClo,8193,dovPOW-Clo
dovPOW-Opn_NKSOpn_ZSKX0001,,30,deoZCIPOWZSKX0001-NKSOpn,8193,dovPOW-Opn
dovPOW-Cancl_Screen_ZSKX0001,,10,deoZCIPOWZSKX0001-Screen,8192,dovPOW-Cancl
dovPOW-Exe_Screen_ZSKX0001,,10,deoZCIPOWZSKX0001-Screen,8193,dovPOW-Exe
dovPOW-Clo_DSClo_NLDG0001,,30,deoZCIPOWNLDG0001-DSClo,8193,dovPOW-Clo
dovPOW-Opn_DSOpn_NLDG0001,,30,deoZCIPOWNLDG0001-DSOpn,8193,dovPOW-Opn
dovPOW-Cancl_Screen_NLDG0001,,10,deoZCIPOWNLDG0001-Screen,8192,dovPOW-Cancl
dovPOW-Exe_Screen_NLDG0001,,10,deoZCIPOWNLDG0001-Screen,8193,dovPOW-Exe
dovPOW-Rsm_Reset1_NKFJ0001,,0,deoZCIPOWNKFJ0001-Reset1,8192,dovPOW-Rsm
dovPOW-Act_Reset1_NKFJ0001,,0,deoZCIPOWNKFJ0001-Reset1,8193,dovPOW-Act
dovPOW-SelOpn_SelCBOpn_HVNK0001,,20,deoZCIPOWHVNK0001-SelCBOpn,16385,dovPOW-SelOpn
dovPOW-DeOpn_SelCBOpn_HVNK0001,,5,deoZCIPOWHVNK0001-SelCBOpn,4097,dovPOW-DeOpn
dovPOW-SelClo_SelCBClo_HVNK0001,,20,deoZCIPOWHVNK0001-SelCBClo,16385,dovPOW-SelClo
dovPOW-DeClo_SelCBClo_HVNK0001,,10,deoZCIPOWHVNK0001-SelCBClo,4097,dovPOW-DeClo
dovPOW-SelOpn_SelCBOpn_NKNB0001,,20,deoZCIPOWNKNB0001-SelCBOpn,16385,dovPOW-SelOpn
dovPOW-DeOpn_SelCBOpn_NKNB0001,,5,deoZCIPOWNKNB0001-SelCBOpn,4097,dovPOW-DeOpn
dovPOW-SelClo_SelCBClo_NKNB0001,,20,deoZCIPOWNKNB0001-SelCBClo,16385,dovPOW-SelClo
dovPOW-DeClo_SelCBClo_NKNB0001,,10,deoZCIPOWNKNB0001-SelCBClo,4097,dovPOW-DeClo
dovPOW-SelOpn_SelCBOpn_ZSKX0001,,20,deoZCIPOWZSKX0001-SelCBOpn,16385,dovPOW-SelOpn
dovPOW-DeOpn_SelCBOpn_ZSKX0001,,5,deoZCIPOWZSKX0001-SelCBOpn,4097,dovPOW-DeOpn
dovPOW-SelClo_SelCBClo_ZSKX0001,,20,deoZCIPOWZSKX0001-SelCBClo,16385,dovPOW-SelClo
dovPOW-DeClo_SelCBClo_ZSKX0001,,10,deoZCIPOWZSKX0001-SelCBClo,4097,dovPOW-DeClo
dovPOW-SelOpn_SelCBOpn_NLDG0001,,20,deoZCIPOWNLDG0001-SelCBOpn,16385,dovPOW-SelOpn
dovPOW-DeOpn_SelCBOpn_NLDG0001,,5,deoZCIPOWNLDG0001-SelCBOpn,4097,dovPOW-DeOpn
dovPOW-SelClo_SelCBClo_NLDG0001,,20,deoZCIPOWNLDG0001-SelCBClo,16385,dovPOW-SelClo
dovPOW-DeClo_SelCBClo_NLDG0001,,10,deoZCIPOWNLDG0001-SelCBClo,4097,dovPOW-DeClo
