维修旁路,&DB_WEIX2
维修旁路状态,&DB_WEIXIUPANGLUZHUANGTAI
馈线回路故障,&DB_KUIXIANHUILUGUZHANG
主电源正常,&DB_ZHUDIANYUANZHENGCHANG
备电源正常,&DB_BEIDIANYUANZHENGCHANG
主电源供电,&DB_ZHUDIANYUANGONGDIAN
备电源供电,&DB_BEIDIANYUANGONGDIAN
双电源互投装置故障,&DB_SHUANGDIANYUANHUTOUZHUANGZHIGUZHANG
输入L1相电压,&DB_SHURUL1XIANGDIANYA
输入L2相电压,&DB_SHURUL2XIANGDIANYA
输入L3相电压,&DB_SHURUL3XIANGDIANYA
输出L1相电压,&DB_SHUCHUL1XIANGDIANYA
输出L2相电压,&DB_SHUCHUL2XIANGDIANYA
输出L3相电压,&DB_SHUCHUL3XIANGDIANYA
输出L1相电流,&DB_SHUCHUL1XIANGDIANLIU
输出L2相电流,&DB_SHUCHUL2XIANGDIANLIU
输出L3相电流,&DB_SHUCHUL3XIANGDIANLIU
区间疏散指示,&DB_QUJIANSHUSANZHISHI
场段电梯,&DB_CHANGDUANDIANTI
高架站新风机组,&DB_GAOJIAZHANXINFENGJIZU
中心正在移交到车站,&DB_ZHON3
车站正在移交到中心,&DB_CHEZ1
中心正在取回控制权,&DB_ZHON4
 车站正在取回控制权,&DB_CHEZ2
中心接受控制权,&DB_ZHON5
车站接受控制权,&DB_CHEZ3
中心移交到车站,&DB_ZHON6
车站移交到中心,&DB_CHEZ4
中心取回控制权,&DB_ZHON7
 车站取回控制权,&DB_CHEZ5
